run_key,prompt_id,difficulty,category,condition,seed_requested,seed_sent_to_provider,repair_budget,first_generation_success,success_within_repair_budget,repairs_used,step_export_success,stl_export_success,geometry_valid,step_geometry_valid,step_solid_count,cylindrical_hole_count,dimension_constraint_satisfied,constraint_groups_registered,constraint_groups_evaluated,constraint_evaluation_coverage,constraint_groups_passed,constraint_groups_total,constraint_group_pass_rate,all_evaluated_hard_constraints_satisfied,all_registered_hard_constraints_satisfied,task_success_v1,task_success_v2,actual_dimensions_mm,failed_constraint_ids,unevaluated_constraint_ids,elapsed_seconds,llm_call_count,llm_transport_retries,prompt_tokens,completion_tokens,total_tokens,cached_prompt_tokens,reasoning_tokens,text_completion_tokens,token_usage_complete,estimated_cost,cost_currency,rag_retrieval_seconds,initial_generation_seconds,repair_generation_seconds,llm_seconds,cad_execution_seconds,end_to_end_seconds
P01:baseline,P01,easy,primitive,baseline,,,0,True,True,0,True,True,True,True,1,0,True,3,3,1.0,3,3,1.0,True,True,True,True,"[30.0, 30.0, 30.0]",[],[],10.55,,,,,,,,,,,,,,,,,
P01:lightweight_rag,P01,easy,primitive,lightweight_rag,,,0,True,True,0,True,True,True,True,1,0,True,3,3,1.0,3,3,1.0,True,True,True,True,"[30.0, 30.0, 30.0]",[],[],7.92,,,,,,,,,,,,,,,,,
P02:lightweight_rag,P02,easy,primitive,lightweight_rag,,,0,True,True,0,True,True,True,True,1,0,True,3,3,1.0,3,3,1.0,True,True,True,True,"[24.0, 23.99254, 50.0]",[],[],163.27,,,,,,,,,,,,,,,,,
P02:baseline,P02,easy,primitive,baseline,,,0,True,True,0,True,True,True,True,1,0,True,3,3,1.0,3,3,1.0,True,True,True,True,"[24.0, 23.99254, 50.0]",[],[],6.5,,,,,,,,,,,,,,,,,
P03:baseline,P03,medium,container,baseline,,,0,True,True,0,True,True,True,True,1,0,True,2,2,1.0,2,2,1.0,True,True,True,True,"[80.0, 50.0, 30.0]",[],[],15.21,,,,,,,,,,,,,,,,,
P03:lightweight_rag,P03,medium,container,lightweight_rag,,,0,True,True,0,True,True,True,False,0,0,True,2,1,0.5,1,1,1.0,True,False,True,False,"[80.0, 50.0, 30.0]",[],"[""single_solid""]",148.19,,,,,,,,,,,,,,,,,
P04:lightweight_rag,P04,medium,furniture,lightweight_rag,,,0,True,True,0,True,True,True,True,5,0,True,2,2,1.0,1,2,0.5,False,False,True,False,"[100.0, 60.0, 50.0]","[""single_fused_model""]",[],48.29,,,,,,,,,,,,,,,,,
P04:baseline,P04,medium,furniture,baseline,,,0,True,True,0,True,True,True,True,1,0,True,2,2,1.0,2,2,1.0,True,True,True,True,"[100.0, 60.0, 50.0]",[],[],48.66,,,,,,,,,,,,,,,,,
P05:baseline,P05,medium,furniture,baseline,,,0,True,True,0,True,True,True,True,1,0,True,3,3,1.0,3,3,1.0,True,True,True,True,"[45.0, 45.0, 90.0]",[],[],44.11,,,,,,,,,,,,,,,,,
P05:lightweight_rag,P05,medium,furniture,lightweight_rag,,,0,True,True,0,True,True,True,True,1,0,True,3,3,1.0,3,3,1.0,True,True,True,True,"[45.0, 45.0, 90.0]",[],[],200.95,,,,,,,,,,,,,,,,,
P06:lightweight_rag,P06,medium,parameterized_part,lightweight_rag,,,0,True,True,0,True,True,True,True,1,4,True,3,3,1.0,3,3,1.0,True,True,True,True,"[90.0, 50.0, 6.0]",[],[],12.73,,,,,,,,,,,,,,,,,
P06:baseline,P06,medium,parameterized_part,baseline,,,0,True,True,0,True,True,True,True,1,4,True,3,3,1.0,3,3,1.0,True,True,True,True,"[90.0, 50.0, 6.0]",[],[],17.89,,,,,,,,,,,,,,,,,
P07:baseline,P07,hard,mechanical_part,baseline,,,0,True,True,0,True,True,True,True,1,5,True,4,4,1.0,4,4,1.0,True,True,True,True,"[60.0, 59.98135, 31.0]",[],[],56.97,,,,,,,,,,,,,,,,,
P07:lightweight_rag,P07,hard,mechanical_part,lightweight_rag,,,0,True,True,0,True,True,True,True,1,5,True,4,4,1.0,4,4,1.0,True,True,True,True,"[60.0, 59.98135, 31.0]",[],[],67.18,,,,,,,,,,,,,,,,,
P08:lightweight_rag,P08,hard,mechanical_part,lightweight_rag,,,0,True,True,0,True,True,True,True,1,2,True,4,4,1.0,3,4,0.75,False,False,True,False,"[70.0, 35.0, 35.0]","[""vertical_plate_holes""]",[],198.29,,,,,,,,,,,,,,,,,
P08:baseline,P08,hard,mechanical_part,baseline,,,0,True,True,0,True,True,True,True,1,4,False,4,4,1.0,2,4,0.5,False,False,False,False,"[70.0, 37.5, 35.0]","[""overall_dimensions"", ""vertical_plate_holes""]",[],324.67,,,,,,,,,,,,,,,,,
P09:baseline,P09,hard,multi_part,baseline,,,0,True,True,0,True,True,True,True,7,0,True,2,2,1.0,2,2,1.0,True,True,True,True,"[90.0, 105.0, 39.99627]",[],[],69.51,,,,,,,,,,,,,,,,,
P09:lightweight_rag,P09,hard,multi_part,lightweight_rag,,,0,True,True,0,True,True,True,True,7,0,True,2,2,1.0,2,2,1.0,True,True,True,True,"[90.0, 105.0, 39.99627]",[],[],47.03,,,,,,,,,,,,,,,,,
P10:lightweight_rag,P10,complex,multi_part,lightweight_rag,,,0,True,True,0,True,True,True,True,5,0,True,1,1,1.0,1,1,1.0,True,True,True,True,"[108.0, 120.0, 33.16]",[],[],174.64,,,,,,,,,,,,,,,,,
P10:baseline,P10,complex,multi_part,baseline,,,0,True,True,0,True,True,True,True,5,0,True,1,1,1.0,1,1,1.0,True,True,True,True,"[108.0, 120.0, 25.998135]",[],[],116.87,,,,,,,,,,,,,,,,,
P01:full_rag,P01,easy,primitive,full_rag,,,0,True,True,0,True,True,True,True,1,0,True,3,3,1.0,3,3,1.0,True,True,True,True,"[30.0, 30.0, 30.0]",[],[],13.81,,,,,,,,,,,,,,,,,
P02:full_rag,P02,easy,primitive,full_rag,,,0,True,True,0,True,True,True,True,1,0,True,3,3,1.0,3,3,1.0,True,True,True,True,"[24.0, 23.99254, 50.0]",[],[],18.61,,,,,,,,,,,,,,,,,
P03:full_rag,P03,medium,container,full_rag,,,0,True,True,0,True,True,True,False,0,0,True,2,1,0.5,1,1,1.0,True,False,True,False,"[80.0, 50.0, 30.0]",[],"[""single_solid""]",15.06,,,,,,,,,,,,,,,,,
P04:full_rag,P04,medium,furniture,full_rag,,,0,True,True,0,True,True,True,True,1,0,True,2,2,1.0,2,2,1.0,True,True,True,True,"[100.0, 60.0, 50.0]",[],[],47.4,,,,,,,,,,,,,,,,,
P05:full_rag,P05,medium,furniture,full_rag,,,0,True,True,0,True,True,True,True,1,0,True,3,3,1.0,3,3,1.0,True,True,True,True,"[45.0, 45.0, 85.0]",[],[],215.44,,,,,,,,,,,,,,,,,
P06:full_rag,P06,medium,parameterized_part,full_rag,,,0,True,True,0,True,True,True,True,1,4,True,3,3,1.0,3,3,1.0,True,True,True,True,"[90.0, 50.0, 6.0]",[],[],146.5,,,,,,,,,,,,,,,,,
P07:full_rag,P07,hard,mechanical_part,full_rag,,,0,True,True,0,True,True,True,True,1,5,True,4,4,1.0,4,4,1.0,True,True,True,True,"[60.0, 59.98135, 31.0]",[],[],122.61,,,,,,,,,,,,,,,,,
P08:full_rag,P08,hard,mechanical_part,full_rag,,,0,True,True,0,True,True,True,True,1,2,True,4,4,1.0,3,4,0.75,False,False,True,False,"[70.0, 35.0, 35.0]","[""vertical_plate_holes""]",[],338.26,,,,,,,,,,,,,,,,,
P09:full_rag,P09,hard,multi_part,full_rag,,,0,True,True,0,True,True,True,True,7,0,True,2,2,1.0,2,2,1.0,True,True,True,True,"[90.0, 63.0, 40.0]",[],[],123.42,,,,,,,,,,,,,,,,,
P10:full_rag,P10,complex,multi_part,full_rag,,,0,True,True,0,True,True,True,True,5,0,True,1,1,1.0,1,1,1.0,True,True,True,True,"[110.0, 120.0, 31.125]",[],[],76.32,,,,,,,,,,,,,,,,,
