prompt_id,difficulty,category,main_errors_observed,baseline_compiles,baseline_visible,baseline_dimensions_reasonable,baseline_dimensions_mm,baseline_visual_score_1_to_5,baseline_readability_1_to_5,baseline_parameterized,baseline_elapsed_seconds,baseline_reference_ids,lightweight_rag_compiles,lightweight_rag_visible,lightweight_rag_dimensions_reasonable,lightweight_rag_dimensions_mm,lightweight_rag_visual_score_1_to_5,lightweight_rag_readability_1_to_5,lightweight_rag_parameterized,lightweight_rag_elapsed_seconds,lightweight_rag_reference_ids,full_rag_compiles,full_rag_visible,full_rag_dimensions_reasonable,full_rag_dimensions_mm,full_rag_visual_score_1_to_5,full_rag_readability_1_to_5,full_rag_parameterized,full_rag_elapsed_seconds,full_rag_reference_ids
P01,easy,primitive,None observed.,True,True,True,"[30.0, 30.0, 30.0]",5,5,True,10.55,[],True,True,True,"[30.0, 30.0, 30.0]",5,5,True,7.92,"['parameterization', 'workplane_primitives']",True,True,True,"[30.0, 30.0, 30.0]",5,5,True,13.81,"['api.Plane.named', 'api.Plane.XY', 'api.Plane.bottom']"
P02,easy,primitive,None observed.,True,True,True,"[24.0, 23.993, 50.0]",5,5,True,6.5,[],True,True,True,"[24.0, 23.993, 50.0]",5,5,True,163.27,"['parameterization', 'workplane_primitives', 'assemblies']",True,True,True,"[24.0, 23.993, 50.0]",5,5,True,18.61,"['parameterization', 'api.Solid.makeCylinder', 'api.Plane.named']"
P03,medium,container,All three produce an open top and correct wall/bottom thickness.,True,True,True,"[80.0, 50.0, 30.0]",5,5,True,15.21,[],True,True,True,"[80.0, 50.0, 30.0]",5,5,True,148.19,"['shell_and_thickness', 'parameterization', 'workplane_primitives']",True,True,True,"[80.0, 50.0, 30.0]",5,5,True,15.06,"['shell_and_thickness', 'parameterization', 'api.Solid.makeBox']"
P04,medium,furniture,None observed in final geometry.,True,True,True,"[100.0, 60.0, 50.0]",5,5,True,48.66,[],True,True,True,"[100.0, 60.0, 50.0]",5,5,True,48.29,"['assemblies', 'workplane_primitives', 'parameterization']",True,True,True,"[100.0, 60.0, 50.0]",5,5,True,47.4,"['api.Plane.named', 'api.BoundBox.isInside', 'api.Shape.isEqual']"
P05,medium,furniture,None observed; Full RAG interprets 45 mm as the seat's top-surface height.,True,True,True,"[45.0, 45.0, 90.0]",5,5,True,44.11,[],True,True,True,"[45.0, 45.0, 90.0]",5,5,True,200.95,"['parameterization', 'assemblies', 'workplane_primitives']",True,True,True,"[45.0, 45.0, 85.0]",5,5,True,215.44,"['parameterization', 'api.Plane.named', 'api.Face.locationAt']"
P06,medium,parameterized_part,All three contain four correctly placed through holes.,True,True,True,"[90.0, 50.0, 6.0]",5,5,True,17.89,[],True,True,True,"[90.0, 50.0, 6.0]",5,5,True,12.73,"['parameterization', 'holes_and_patterns', 'workplane_primitives']",True,True,True,"[90.0, 50.0, 6.0]",5,5,True,146.5,"['parameterization', 'holes_and_patterns', 'api.Shape.CenterOfBoundBox']"
P07,hard,mechanical_part,"All three contain the flange, hub, bore, and four bolt holes.",True,True,True,"[60.0, 59.981, 31.0]",5,5,True,56.97,[],True,True,True,"[60.0, 59.981, 31.0]",5,5,True,67.18,"['holes_and_patterns', 'parameterization', 'assemblies']",True,True,True,"[60.0, 59.981, 31.0]",5,5,True,122.61,"['holes_and_patterns', 'parameterization', 'api.Plane.mirrorInPlane']"
P08,hard,mechanical_part,Baseline extends the vertical plate 2.5 mm outward; both RAG versions place it correctly.,True,True,True,"[70.0, 37.5, 35.0]",4,5,True,324.67,[],True,True,True,"[70.0, 35.0, 35.0]",5,5,True,198.29,"['holes_and_patterns', 'parameterization', 'profiles_extrude_revolve']",True,True,True,"[70.0, 35.0, 35.0]",5,5,True,338.26,"['holes_and_patterns', 'examples.plate_with_hole', 'parameterization']"
P09,hard,multi_part,Baseline and Lightweight RAG mis-center XZ extrusions (105 mm width). Full RAG explicitly uses +Y cylinders and produces 63 mm width.,True,True,False,"[90.0, 105.0, 39.996]",3,4,True,69.51,[],True,True,False,"[90.0, 105.0, 39.996]",3,4,True,47.03,"['assemblies', 'parameterization', 'loft_and_tapered_forms']",True,True,True,"[90.0, 63.0, 40.0]",5,5,True,123.42,"['assembly.parameters', 'assemblies', 'parameterization']"
P10,complex,multi_part,All three are recognizable but use simplified rectangular wing and tail surfaces.,True,True,True,"[108.0, 120.0, 25.998]",4,5,True,116.87,[],True,True,True,"[108.0, 120.0, 33.16]",4,5,True,174.64,"['loft_and_tapered_forms', 'assemblies', 'transformations_and_symmetry']",True,True,True,"[110.0, 120.0, 31.125]",4,5,True,76.32,"['loft_and_tapered_forms', 'assembly.parameters', 'api.NearestToPointSelector']"
